12:33:08   14.08.2022              Programm Climap                 MeteoSchweiz
Zeitangaben in UTC 0040 (UTC)  =  01:40 Uhr Winterzeit  =  02:40 Uhr Sommerzeit
Auswahlperiode: 01.01.2020 00:00  -  31.12.2020 23:50 UTC 32767 -> Keine Angabe
Anzahl Stationen  1
  10769	Mont Kenya              3678 m.ü.M.	     0/      0
Anzahl Parameter  6
    90  Luftdruck auf Barometerhöhe (QFE); Momentanwert  [hPa]
    91  Lufttemperatur 2 m über Boden; Momentanwert  [°C]
   196  Windgeschwindigkeit skalar; Zehnminutenmittel  [m/s]
   197  Windrichtung; Zehnminutenmittel  [°]
   321  Original Luftfeuchtigkeit 2 m über Boden; Momentanwert  [%]
   285  Original Globalstrahlung; Zehnminutenmittel  [W/m²]

  STA JAHR MO TG HH MM    90    91   196   197   321   285
10769 2020  1  1  0  0 659.3   5.4   8.3   121  43.6     0 
10769 2020  1  1  0 10 32767 32767 32767 32767 32767 32767 
10769 2020  1  1  0 20 32767 32767 32767 32767 32767 32767 
10769 2020  1  1  0 30 32767 32767 32767 32767 32767 32767 
10769 2020  1  1  0 40 32767 32767 32767 32767 32767 32767 
10769 2020  1  1  0 50 32767 32767 32767 32767 32767 32767 
10769 2020  1  1  1  0 659.2   4.9   9.2   131  45.8     0 
10769 2020  1  1  1 10 32767 32767 32767 32767 32767 32767 
10769 2020  1  1  1 20 32767 32767 32767 32767 32767 32767 
10769 2020  1  1  1 30 32767 32767 32767 32767 32767 32767 
10769 2020  1  1  1 40 32767 32767 32767 32767 32767 32767 
10769 2020  1  1  1 50 32767 32767 32767 32767 32767 32767 
10769 2020  1  1  2  0 659.4   4.6   7.5   127  46.2     0 
10769 2020  1  1  2 10 32767 32767 32767 32767 32767 32767 
10769 2020  1  1  2 20 32767 32767 32767 32767 32767 32767 
10769 2020  1  1  2 30 32767 32767 32767 32767 32767 32767 
10769 2020  1  1  2 40 32767 32767 32767 32767 32767 32767 
10769 2020  1  1  2 50 32767 32767 32767 32767 32767 32767 
10769 2020  1  1  3  0 659.6   4.9  11.8   123  46.3     0 
10769 2020  1  1  3 10 32767 32767 32767 32767 32767 32767 
10769 2020  1  1  3 20 32767 32767 32767 32767 32767 32767 
10769 2020  1  1  3 30 32767 32767 32767 32767 32767 32767 
10769 2020  1  1  3 40 32767 32767 32767 32767 32767 32767 
10769 2020  1  1  3 50 32767 32767 32767 32767 32767 32767 
10769 2020  1  1  4  0 660.1   4.9  10.5   128  46.3    23 
10769 2020  1  1  4 10 32767 32767 32767 32767 32767 32767 
10769 2020  1  1  4 20 32767 32767 32767 32767 32767 32767 
10769 2020  1  1  4 30 32767 32767 32767 32767 32767 32767 
10769 2020  1  1  4 40 32767 32767 32767 32767 32767 32767 
10769 2020  1  1  4 50 32767 32767 32767 32767 32767 32767 
10769 2020  1  1  5  0 660.7   6.8  12.3   121  45.2   333 
10769 2020  1  1  5 10 32767 32767 32767 32767 32767 32767 
10769 2020  1  1  5 20 32767 32767 32767 32767 32767 32767 
10769 2020  1  1  5 30 32767 32767 32767 32767 32767 32767 
