station,termin,prestas0,tre200s0,rre150z0,fkl010z1,ua2200s0,ta1200s0,ta2200s0,ra1150z0,ua1200s0,fkl010z0,dkl010z0,gor000z0,uor200s0,da1010z0,fa1010z0,pa1stas0,ycoml1s0,ycomirs0

10769,20210621150000,661.60,6.30,None,None,None,None,None,None,None,1.80,0.00,63.00,84.70,None,None,None,None,1.00
10769,20210621160000,661.70,5.10,None,None,None,None,None,None,None,1.70,62.00,0.00,86.90,None,None,None,None,1.00
10769,20210621170000,661.60,3.40,None,None,None,None,None,None,None,1.10,240.00,0.00,90.40,None,None,None,None,1.00
10769,20210621180000,661.80,4.50,None,None,None,None,None,None,None,0.90,291.00,0.00,74.90,None,None,None,None,1.00
10769,20210621190000,661.70,5.50,None,None,None,None,None,None,None,7.50,138.00,0.00,46.20,None,None,None,None,1.00
10769,20210621200000,661.50,5.70,None,None,None,None,None,None,None,8.70,135.00,0.00,46.40,None,None,None,None,1.00
10769,20210621210000,661.00,5.50,None,None,None,None,None,None,None,8.40,141.00,0.00,46.50,None,None,None,None,1.00
10769,20210621220000,660.50,5.60,None,None,None,None,None,None,None,8.30,139.00,0.00,46.60,None,None,None,None,1.00
10769,20210621230000,659.80,5.00,None,None,None,None,None,None,None,9.00,138.00,0.00,48.70,None,None,None,None,1.00
10769,20210622000000,659.70,5.50,None,None,None,None,None,None,None,9.50,142.00,0.00,46.00,None,None,None,None,1.00
10769,20210622010000,659.40,5.20,None,None,None,None,None,None,None,10.40,134.00,0.00,47.70,None,None,None,None,1.00
10769,20210622020000,659.60,6.20,None,None,None,None,None,None,None,12.40,136.00,0.00,42.70,None,None,None,None,1.00
10769,20210622030000,659.90,5.30,None,None,None,None,None,None,None,11.00,132.00,0.00,47.00,None,None,None,None,1.00
10769,20210622040000,660.20,5.70,None,None,None,None,None,None,None,10.70,138.00,61.00,50.10,None,None,None,None,1.00
10769,20210622050000,660.60,8.20,None,None,None,None,None,None,None,11.80,136.00,287.00,40.90,None,None,None,None,1.00
10769,20210622060000,661.10,10.00,None,None,None,None,None,None,None,16.00,112.00,505.00,30.70,None,None,None,None,1.00
10769,20210622070000,661.40,11.30,None,None,None,None,None,None,None,9.60,106.00,699.00,32.60,None,None,None,None,1.00
10769,20210622080000,661.50,12.20,None,None,None,None,None,None,None,10.10,92.00,853.00,31.40,None,None,None,None,1.00
