site_gaw_id year month day hour minute second year month day hour minute second value value_unc nvalue latitude longitude altitude elevation intake_height flask_no ORG_QCflag QCflag instrument measurement_method scale
MKN 2022 1 1 0 0 0 -999 -9 -9 -9 -9 -9 1920.88 0.36 60 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 2 1 18 1
MKN 2022 1 1 1 0 0 -999 -9 -9 -9 -9 -9 1921.02 0.31 60 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 2 1 18 1
MKN 2022 1 1 2 0 0 -999 -9 -9 -9 -9 -9 1916.94 1.75 60 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 2 1 18 1
MKN 2022 1 1 3 0 0 -999 -9 -9 -9 -9 -9 1914.33 0.98 60 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 2 1 18 1
MKN 2022 1 1 4 0 0 -999 -9 -9 -9 -9 -9 1916.47 2.42 60 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 2 1 18 1
MKN 2022 1 1 5 0 0 -999 -9 -9 -9 -9 -9 1915.57 4.9 60 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 2 1 18 1
MKN 2022 1 1 6 0 0 -999 -9 -9 -9 -9 -9 1914 2.22 60 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 2 1 18 1
MKN 2022 1 1 7 0 0 -999 -9 -9 -9 -9 -9 1920.83 3.67 60 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 2 1 18 1
MKN 2022 1 1 8 0 0 -999 -9 -9 -9 -9 -9 1922.54 0.5 60 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 2 1 18 1
MKN 2022 1 1 9 0 0 -999 -9 -9 -9 -9 -9 1922.61 0.62 60 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 2 1 18 1
MKN 2022 1 1 10 0 0 -999 -9 -9 -9 -9 -9 1923.32 0.3 60 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 2 1 18 1
MKN 2022 1 1 11 0 0 -999 -9 -9 -9 -9 -9 1922.98 0.34 60 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 2 1 18 1
MKN 2022 1 1 12 0 0 -999 -9 -9 -9 -9 -9 1924.09 0.7 60 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 2 1 18 1
MKN 2022 1 1 13 0 0 -999 -9 -9 -9 -9 -9 1925.14 0.47 60 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 2 1 18 1
MKN 2022 1 1 14 0 0 -999 -9 -9 -9 -9 -9 1925.71 0.4 60 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 2 1 18 1
MKN 2022 1 1 15 0 0 -999 -9 -9 -9 -9 -9 1926.44 0.57 60 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 2 1 18 1
MKN 2022 1 1 16 0 0 -999 -9 -9 -9 -9 -9 1924.4 2 60 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 2 1 18 1
MKN 2022 1 1 17 0 0 -999 -9 -9 -9 -9 -9 1918.74 2.07 60 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 2 1 18 1
MKN 2022 1 1 18 0 0 -999 -9 -9 -9 -9 -9 1911.1 3.23 60 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 2 1 18 1
