site_gaw_id year month day hour minute second year month day hour minute second value value_unc nvalue latitude longitude altitude elevation intake_height flask_no ORG_QCflag QCflag instrument measurement_method scale
MKN 2022 1 1 0 0 0 -999 -9 -9 -9 -9 -9 417.31 0.17 60 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 2 1 18 1
MKN 2022 1 1 1 0 0 -999 -9 -9 -9 -9 -9 417.23 0.18 60 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 2 1 18 1
MKN 2022 1 1 2 0 0 -999 -9 -9 -9 -9 -9 416.88 0.11 60 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 2 1 18 1
MKN 2022 1 1 3 0 0 -999 -9 -9 -9 -9 -9 417.07 0.21 60 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 2 1 18 1
MKN 2022 1 1 4 0 0 -999 -9 -9 -9 -9 -9 416.62 0.42 60 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 2 1 18 1
MKN 2022 1 1 5 0 0 -999 -9 -9 -9 -9 -9 415.46 0.24 60 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 2 1 18 1
MKN 2022 1 1 6 0 0 -999 -9 -9 -9 -9 -9 414.74 0.31 60 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 2 1 18 1
MKN 2022 1 1 7 0 0 -999 -9 -9 -9 -9 -9 414.01 0.32 60 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 2 1 18 1
MKN 2022 1 1 8 0 0 -999 -9 -9 -9 -9 -9 413.29 0.25 60 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 2 1 18 1
MKN 2022 1 1 9 0 0 -999 -9 -9 -9 -9 -9 412.27 0.4 60 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 2 1 18 1
MKN 2022 1 1 10 0 0 -999 -9 -9 -9 -9 -9 411.24 0.38 60 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 2 1 18 1
MKN 2022 1 1 11 0 0 -999 -9 -9 -9 -9 -9 410.35 0.48 60 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 2 1 18 1
MKN 2022 1 1 12 0 0 -999 -9 -9 -9 -9 -9 411.02 0.76 60 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 2 1 18 1
MKN 2022 1 1 13 0 0 -999 -9 -9 -9 -9 -9 410.38 0.4 60 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 2 1 18 1
MKN 2022 1 1 14 0 0 -999 -9 -9 -9 -9 -9 409.74 0.25 60 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 2 1 18 1
MKN 2022 1 1 15 0 0 -999 -9 -9 -9 -9 -9 410.78 0.86 60 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 2 1 18 1
MKN 2022 1 1 16 0 0 -999 -9 -9 -9 -9 -9 413.17 1.09 60 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 2 1 18 1
MKN 2022 1 1 17 0 0 -999 -9 -9 -9 -9 -9 415.23 0.39 60 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 2 1 18 1
MKN 2022 1 1 18 0 0 -999 -9 -9 -9 -9 -9 415.56 0.6 60 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 2 1 18 1
MKN 2022 1 1 19 0 0 -999 -9 -9 -9 -9 -9 415.65 0.32 60 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 2 1 18 1
MKN 2022 1 1 20 0 0 -999 -9 -9 -9 -9 -9 414.79 0.21 60 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 2 1 18 1
MKN 2022 1 1 21 0 0 -999 -9 -9 -9 -9 -9 415.29 0.73 50 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 2 1 18 1
MKN 2022 1 1 22 0 0 -999 -9 -9 -9 -9 -9 -999.999 -999.999 -9 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 3 1 18 1
MKN 2022 1 1 23 0 0 -999 -9 -9 -9 -9 -9 416.62 0.41 60 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 2 1 18 1
MKN 2022 1 2 0 0 0 -999 -9 -9 -9 -9 -9 416.74 0.13 60 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 2 1 18 1
MKN 2022 1 2 1 0 0 -999 -9 -9 -9 -9 -9 416.79 0.2 60 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 2 1 18 1
MKN 2022 1 2 2 0 0 -999 -9 -9 -9 -9 -9 416.83 0.13 60 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 2 1 18 1
