site_gaw_id year month day hour minute second year month day hour minute second value value_unc nvalue latitude longitude altitude elevation intake_height flask_no ORG_QCflag QCflag instrument measurement_method scale
MKN 2022 1 1 0 0 0 -999 -9 -9 -9 -9 -9 88.43 3.37 60 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 2 1 18 1
MKN 2022 1 1 1 0 0 -999 -9 -9 -9 -9 -9 88.54 3.73 60 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 2 1 18 1
MKN 2022 1 1 2 0 0 -999 -9 -9 -9 -9 -9 86.66 3.76 60 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 2 1 18 1
MKN 2022 1 1 3 0 0 -999 -9 -9 -9 -9 -9 86.15 2.97 60 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 2 1 18 1
MKN 2022 1 1 4 0 0 -999 -9 -9 -9 -9 -9 86.08 3.64 60 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 2 1 18 1
MKN 2022 1 1 5 0 0 -999 -9 -9 -9 -9 -9 85.74 3.39 60 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 2 1 18 1
MKN 2022 1 1 6 0 0 -999 -9 -9 -9 -9 -9 85.07 2.93 60 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 2 1 18 1
MKN 2022 1 1 7 0 0 -999 -9 -9 -9 -9 -9 90.13 3.9 60 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 2 1 18 1
MKN 2022 1 1 8 0 0 -999 -9 -9 -9 -9 -9 91.66 3.4 60 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 2 1 18 1
MKN 2022 1 1 9 0 0 -999 -9 -9 -9 -9 -9 92.89 3.39 60 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 2 1 18 1
MKN 2022 1 1 10 0 0 -999 -9 -9 -9 -9 -9 95.19 3.06 60 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 2 1 18 1
MKN 2022 1 1 11 0 0 -999 -9 -9 -9 -9 -9 94.96 3 60 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 2 1 18 1
MKN 2022 1 1 12 0 0 -999 -9 -9 -9 -9 -9 95.23 3.1 60 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 2 1 18 1
MKN 2022 1 1 13 0 0 -999 -9 -9 -9 -9 -9 97.79 3.24 60 -0.0621999986 37.2971992493 3688 3678 10 -999.999 -999.999 2 1 18 1
